q EQ,i EQ,q ME,i ME
3.554029,0.000000,3.554029,6.663316
3.559654,0.000000,3.559654,7.879551
3.565279,0.000000,3.565279,6.586843
3.570904,0.000000,3.570904,5.150756
3.576529,0.000000,3.576529,5.873234
3.582154,0.000000,3.582154,5.917413
3.587779,0.000000,3.587779,4.877203
3.593405,0.000000,3.593405,6.376444
3.599030,0.000000,3.599030,6.443277
3.604655,0.000000,3.604655,7.354379
3.610280,0.000000,3.610280,6.014482
3.615905,0.000000,3.615905,5.566224
3.621530,0.000000,3.621530,5.811205
3.627155,0.000000,3.627155,6.022401
3.632780,0.000000,3.632780,6.749124
3.638405,0.000000,3.638405,6.475372
3.644031,0.000000,3.644031,6.429875
3.649656,0.000000,3.649656,6.087102
3.655281,0.000000,3.655281,5.943422
3.660906,0.000000,3.660906,5.939564
3.666531,0.000000,3.666531,6.321519
3.672156,0.000000,3.672156,6.389502
3.677781,0.000000,3.677781,5.791375
3.683406,0.000000,3.683406,5.739485
3.689031,0.000000,3.689031,5.741090
3.694657,0.000000,3.694657,6.450625
3.700282,0.000000,3.700282,6.864738
3.705907,0.000000,3.705907,6.103821
3.711532,0.000000,3.711532,6.612562
3.717157,0.000000,3.717157,6.645963
3.722782,0.000000,3.722782,6.136884
3.728407,0.000000,3.728407,5.868010
3.734032,0.000000,3.734032,6.054596
3.739657,0.000000,3.739657,6.807377
3.745283,0.000000,3.745283,6.427149
3.750908,0.000000,3.750908,5.735047
3.756533,0.000000,3.756533,5.492933
3.762158,0.000000,3.762158,5.495803
3.767783,0.000000,3.767783,6.168728
3.773408,0.000000,3.773408,6.170691
3.779033,0.000000,3.779033,5.520022
3.784658,0.000000,3.784658,6.043716
3.790283,0.000000,3.790283,6.616146
3.795908,0.000000,3.795908,6.327641
3.801534,0.000000,3.801534,6.309312
3.807159,0.000000,3.807159,7.399724
3.812784,0.000000,3.812784,7.435111
3.818409,0.000000,3.818409,7.016980
3.824034,0.000000,3.824034,6.290263
3.829659,0.000000,3.829659,6.543639
3.835284,0.000000,3.835284,7.034396
3.840909,0.000000,3.840909,6.809479
3.846534,0.000000,3.846534,6.310297
3.852160,0.000000,3.852160,6.467616
3.857785,0.000000,3.857785,6.689731
3.863410,0.000000,3.863410,6.460334
3.869035,0.000000,3.869035,7.150173
3.874660,0.000000,3.874660,7.103812
3.880285,0.000000,3.880285,6.617838
3.885910,0.000000,3.885910,6.799276
3.891535,0.000000,3.891535,6.739777
3.897160,0.000000,3.897160,6.103977
3.902786,0.000000,3.902786,6.231560
3.908411,0.000000,3.908411,7.055292
3.914036,0.000000,3.914036,6.149740
3.919661,0.000000,3.919661,6.229491
3.925286,0.000000,3.925286,6.881683
3.930911,0.000000,3.930911,7.292674
3.936536,0.000000,3.936536,7.031765
